Date,Description,Vendor,Amount,Need
08/06/24,AMAZON MKTPL,Amazon,102.82,0
08/06/24,Gifts,IRUSA,103.91,0
08/07/24,AMAZON MKTPL,Amazon,14.99,0
08/07/24,GREAT CLIPS,GREAT CLIPS,24.00,0
08/14/24,Vodafone Roaming,Vodafone,4.00,0
08/26/24,NikePOS_US,Nike,22.94,0
08/27/24,Food,SALT AND STRAW,8.40,1
08/30/24,Transportation,Parkmobile,4.81,1
09/02/24,Food,SALT AND STRAW,8.50,1
09/20/24,Food,QAMARIA,9.37,1
09/29/24,Gifts,ALIEXPRESS,14.19,0
09/28/24,Food,SALT AND STRAW,7.25,1
09/29/24,Food,I JAVA CAFE,28.88,1
09/30/24,AMAZON MKTPL,Amazon,8.72,0
10/05/24,Food,JAMBA JUICE,15.09,1
10/05/24,GREAT CLIPS,GREAT CLIPS,14.99,0
10/07/24,Gifts,IRUSA,250.00,0
10/07/24,AMAZON MKTPL,Amazon,5.34,0
10/12/24,CARWASH,CARWASH,10.25,0
10/18/24,Food,QAMARIA,8.82,1
10/26/24,Food,KINCAIDS,89.74,1
11/02/24,Gifts,MYCUSTOMGOLFBALL,44.73,0
11/02/24,Gifts,BC RACING NA,53.12,0
08/07/24,Groceries,Walmart,12.15,1
08/13/24,Transportation,TFL,7.73,1
08/26/24,Food,ZAREEN'S,21.21,1
08/29/24,Food,KABOB TROLLEY,17.50,1
08/31/24,Food,DISH N DASH,53.03,1
09/03/24,Transportation,UBER,19.75,1
09/10/24,Transportation,VALERO,56.84,1
09/14/24,Groceries,COSTCO,129.95,1
09/22/24,Groceries,SAFEWAY,50.99,1
09/28/24,Groceries,SAFEWAY,25.97,1
09/30/24,Food,GRILLMAN,8.75,1
10/02/24,Food,DAVES HOT CHICKEN,19.61,1
10/06/24,Groceries,SAFEWAY,8.72,1
10/11/24,Food,ZAREEN'S,46.53,1
10/11/24,Food,DISH N DASH,23.28,1
10/20/24,Food,QAMARIA,10.83,0
10/16/24,Food,EL HALAL AMIGOS,19.33,1
10/17/24,NikePOS_US,Nike,49.24,0
10/18/24,Food,HALAL WINGS PLUS,33.05,1
10/21/24,Transportation,VALERO,25.00,1
10/26/24,Transportation,UBER,30.91,1
10/30/24,AMAZON MKTPL,Amazon,14.34,0
